frame,roi_x,roi_y,roi_width,roi_height,num_points,tracking_status
1,394,0,57,57,8,OK
2,394,0,57,57,9,OK
3,394,0,57,57,9,OK
4,394,0,57,57,9,OK
5,394,0,57,57,9,OK
6,394,0,57,57,9,OK
7,394,0,57,57,10,OK
8,394,0,57,57,10,OK
9,394,0,57,57,9,OK
10,394,0,57,57,9,OK
11,394,0,57,57,9,OK
12,394,0,57,57,9,OK
13,394,0,57,57,9,OK
14,394,0,57,57,9,OK
15,394,0,57,57,9,OK
16,394,0,57,57,9,OK
17,394,0,57,57,9,OK
18,394,0,57,57,9,OK
19,394,0,57,57,9,OK
20,394,0,57,57,9,OK
21,394,0,57,57,9,OK
22,394,0,57,57,9,OK
23,394,0,57,57,9,OK
24,394,0,57,57,9,OK
25,394,0,57,57,9,OK
26,394,0,57,57,9,OK
27,394,0,57,57,9,OK
28,394,0,57,57,9,OK
29,394,0,57,57,9,OK
30,394,0,57,57,11,OK
31,394,0,57,57,11,OK
32,394,0,57,57,10,OK
33,394,0,57,57,10,OK
34,394,0,57,57,10,OK
35,394,0,57,57,11,OK
36,394,0,57,57,10,OK
37,394,0,57,57,11,OK
38,394,0,57,57,11,OK
39,394,0,57,57,11,OK
40,394,0,57,57,11,OK
41,394,0,57,57,11,OK
42,394,0,57,57,10,OK
43,394,0,57,57,10,OK
44,394,0,57,57,10,OK
45,394,0,57,57,10,OK
46,394,0,57,57,10,OK
47,394,0,57,57,10,OK
48,394,0,57,57,10,OK
49,394,0,57,57,10,OK
50,394,0,57,57,10,OK
51,394,0,57,57,11,OK
52,394,0,57,57,10,OK
53,394,0,57,57,10,OK
54,394,0,57,57,10,OK
55,394,0,57,57,10,OK
56,394,0,57,57,10,OK
57,394,0,57,57,10,OK
58,394,0,57,57,10,OK
59,394,0,57,57,10,OK
60,394,0,57,57,10,OK
61,394,0,57,57,11,OK
62,394,0,57,57,11,OK
63,394,0,57,57,11,OK
64,394,0,57,57,11,OK
65,394,0,57,57,11,OK
66,394,0,57,57,11,OK
67,394,0,57,57,11,OK
68,394,0,57,57,11,OK
69,394,0,57,57,11,OK
70,394,0,57,57,10,OK
71,394,0,57,57,10,OK
72,394,0,57,57,10,OK
73,394,0,57,57,10,OK
74,394,0,57,57,10,OK
75,394,0,57,57,10,OK
76,394,0,57,57,10,OK
77,394,0,57,57,10,OK
78,394,0,57,57,10,OK
79,394,0,57,57,10,OK
80,394,0,57,57,10,OK
81,394,0,57,57,10,OK
82,394,0,57,57,10,OK
83,394,0,57,57,10,OK
84,394,0,57,57,10,OK
85,394,0,57,57,10,OK
86,394,0,57,57,10,OK
87,394,0,57,57,10,OK
88,394,0,57,57,10,OK
89,394,0,57,57,10,OK
90,394,0,57,57,10,OK
91,394,0,57,57,10,OK
92,394,0,57,57,10,OK
93,394,0,57,57,10,OK
94,394,0,57,57,10,OK
95,394,0,57,57,10,OK
96,394,0,57,57,11,OK
97,394,0,57,57,10,OK
98,394,0,57,57,11,OK
99,394,0,57,57,11,OK
100,394,0,57,57,11,OK
101,394,0,57,57,11,OK
102,394,0,57,57,11,OK
103,394,0,57,57,11,OK
104,394,0,57,57,10,OK
105,394,0,57,57,10,OK
106,394,0,57,57,11,OK
107,394,0,57,57,11,OK
108,394,0,57,57,11,OK
109,394,0,57,57,10,OK
110,394,0,57,57,10,OK
111,394,0,57,57,10,OK
112,394,0,57,57,10,OK
113,394,0,57,57,10,OK
114,394,0,57,57,10,OK
115,394,0,57,57,10,OK
116,394,0,57,57,10,OK
117,394,0,57,57,10,OK
118,394,0,57,57,10,OK
119,394,0,57,57,11,OK
120,394,0,57,57,11,OK
121,394,0,57,57,11,OK
122,394,0,57,57,10,OK
123,394,0,57,57,11,OK
124,394,0,57,57,10,OK
125,394,0,57,57,10,OK
126,394,0,57,57,10,OK
127,394,0,57,57,10,OK
128,394,0,57,57,9,OK
129,394,0,57,57,9,OK
130,394,0,57,57,10,OK
131,394,0,57,57,11,OK
132,394,0,57,57,10,OK
133,394,0,57,57,10,OK
134,394,0,57,57,10,OK
135,394,0,57,57,10,OK
136,394,0,57,57,9,OK
137,394,0,57,57,10,OK
138,394,0,57,57,10,OK
139,394,0,57,57,10,OK
140,394,0,57,57,10,OK
141,394,0,57,57,10,OK
142,394,0,57,57,10,OK
143,394,0,57,57,10,OK
144,394,0,57,57,9,OK
145,394,0,57,57,9,OK
