frame,roi_x,roi_y,roi_width,roi_height,num_points,tracking_status
1,383,0,58,58,7,OK
2,383,0,58,58,7,OK
3,383,0,58,58,7,OK
4,383,0,58,58,7,OK
5,383,0,58,58,7,OK
6,383,0,58,58,7,OK
7,383,0,58,58,7,OK
8,383,0,58,58,7,OK
9,383,0,58,58,7,OK
10,383,0,58,58,7,OK
11,383,0,58,58,7,OK
12,383,0,58,58,7,OK
13,383,0,58,58,7,OK
14,383,0,58,58,7,OK
15,383,0,58,58,7,OK
16,383,0,58,58,7,OK
17,383,0,58,58,7,OK
18,383,0,58,58,7,OK
19,383,0,58,58,7,OK
20,383,0,58,58,7,OK
21,383,0,58,58,7,OK
22,383,0,58,58,7,OK
23,383,0,58,58,7,OK
24,383,0,58,58,7,OK
25,383,0,58,58,8,OK
26,383,0,58,58,8,OK
27,383,0,58,58,8,OK
28,383,0,58,58,8,OK
29,383,0,58,58,8,OK
30,383,0,58,58,9,OK
31,383,0,58,58,10,OK
32,383,0,58,58,10,OK
33,383,0,58,58,10,OK
34,383,0,58,58,10,OK
35,383,0,58,58,10,OK
36,383,0,58,58,10,OK
37,383,0,58,58,10,OK
38,383,0,58,58,10,OK
39,383,0,58,58,10,OK
40,383,0,58,58,10,OK
41,383,0,58,58,10,OK
42,383,0,58,58,10,OK
43,383,0,58,58,10,OK
44,383,0,58,58,10,OK
45,383,0,58,58,10,OK
46,383,0,58,58,10,OK
47,383,0,58,58,10,OK
48,383,0,58,58,10,OK
49,383,0,58,58,10,OK
50,383,0,58,58,10,OK
51,383,0,58,58,10,OK
52,383,0,58,58,10,OK
53,383,0,58,58,10,OK
54,383,0,58,58,10,OK
55,383,0,58,58,9,OK
56,383,0,58,58,8,OK
57,383,0,58,58,8,OK
58,383,0,58,58,8,OK
59,383,0,58,58,9,OK
60,383,0,58,58,9,OK
61,383,0,58,58,9,OK
62,383,0,58,58,9,OK
63,383,0,58,58,9,OK
64,383,0,58,58,9,OK
65,383,0,58,58,9,OK
66,383,0,58,58,9,OK
67,383,0,58,58,9,OK
68,383,0,58,58,9,OK
69,383,0,58,58,9,OK
70,383,0,58,58,9,OK
71,383,0,58,58,9,OK
72,383,0,58,58,9,OK
73,383,0,58,58,9,OK
74,383,0,58,58,9,OK
75,383,0,58,58,9,OK
76,383,0,58,58,9,OK
77,383,0,58,58,9,OK
78,383,0,58,58,9,OK
79,383,0,58,58,9,OK
80,383,0,58,58,9,OK
81,383,0,58,58,9,OK
82,383,0,58,58,8,OK
83,383,0,58,58,8,OK
84,383,0,58,58,8,OK
85,383,0,58,58,8,OK
86,383,0,58,58,8,OK
87,383,0,58,58,8,OK
88,383,0,58,58,9,OK
89,383,0,58,58,9,OK
90,383,0,58,58,9,OK
91,383,0,58,58,9,OK
92,383,0,58,58,9,OK
93,383,0,58,58,9,OK
94,383,0,58,58,9,OK
95,383,0,58,58,9,OK
96,383,0,58,58,9,OK
97,383,0,58,58,9,OK
98,383,0,58,58,9,OK
99,383,0,58,58,9,OK
100,383,0,58,58,9,OK
101,383,0,58,58,9,OK
102,383,0,58,58,9,OK
103,383,0,58,58,9,OK
104,383,0,58,58,9,OK
105,383,0,58,58,9,OK
106,383,0,58,58,9,OK
107,383,0,58,58,9,OK
108,383,0,58,58,9,OK
109,383,0,58,58,9,OK
110,383,0,58,58,9,OK
111,383,0,58,58,8,OK
112,383,0,58,58,8,OK
113,383,0,58,58,8,OK
114,383,0,58,58,8,OK
115,383,0,58,58,8,OK
116,383,0,58,58,7,OK
117,383,0,58,58,8,OK
118,383,0,58,58,8,OK
119,383,0,58,58,8,OK
120,383,0,58,58,8,OK
121,383,0,58,58,8,OK
122,383,0,58,58,8,OK
123,383,0,58,58,8,OK
124,383,0,58,58,8,OK
125,383,0,58,58,8,OK
126,383,0,58,58,8,OK
127,383,0,58,58,8,OK
128,383,0,58,58,8,OK
129,383,0,58,58,8,OK
130,383,0,58,58,8,OK
131,383,0,58,58,8,OK
132,383,0,58,58,8,OK
133,383,0,58,58,8,OK
134,383,0,58,58,8,OK
135,383,0,58,58,8,OK
