frame,roi_x,roi_y,roi_width,roi_height,num_points,tracking_status
1,409,0,58,57,6,OK
2,409,0,58,57,6,OK
3,409,0,58,57,6,OK
4,409,0,58,57,6,OK
5,409,0,58,57,6,OK
6,409,0,58,57,6,OK
7,409,0,58,57,6,OK
8,409,0,58,57,6,OK
9,409,0,58,57,6,OK
10,409,0,58,57,6,OK
11,409,0,58,57,6,OK
12,409,0,58,57,6,OK
13,409,0,58,57,6,OK
14,409,0,58,57,6,OK
15,409,0,58,57,6,OK
16,409,0,58,57,6,OK
17,409,0,58,57,6,OK
18,409,0,58,57,6,OK
19,409,0,58,57,6,OK
20,409,0,58,57,6,OK
21,409,0,58,57,6,OK
22,409,0,58,57,6,OK
23,409,0,58,57,6,OK
24,409,0,58,57,6,OK
25,409,0,58,58,6,OK
26,409,0,58,58,6,OK
27,409,0,58,58,6,OK
28,409,0,58,58,6,OK
29,409,0,58,58,6,OK
30,409,0,58,58,6,OK
31,409,0,58,58,6,OK
32,409,0,58,58,6,OK
33,409,0,58,58,6,OK
34,409,0,58,58,6,OK
35,409,0,58,58,6,OK
36,409,0,58,58,6,OK
37,409,0,58,58,6,OK
38,409,0,58,58,6,OK
39,409,0,58,58,6,OK
40,409,0,58,58,6,OK
41,409,0,58,58,6,OK
42,409,0,58,58,6,OK
43,409,0,58,58,6,OK
44,409,0,58,58,6,OK
45,409,0,58,58,6,OK
46,409,0,58,58,6,OK
47,409,0,58,58,6,OK
48,409,0,58,58,6,OK
49,409,0,58,58,6,OK
50,409,0,58,58,6,OK
51,409,0,58,58,6,OK
52,409,0,58,58,6,OK
53,409,0,58,58,6,OK
54,409,0,58,58,6,OK
55,409,0,58,58,6,OK
56,409,0,58,58,6,OK
57,409,0,58,58,6,OK
58,409,0,58,58,7,OK
59,409,0,58,58,6,OK
60,409,0,58,58,6,OK
61,409,0,58,58,6,OK
62,409,0,58,58,6,OK
63,409,0,58,58,6,OK
64,409,0,58,58,6,OK
65,409,0,58,58,6,OK
66,409,0,58,58,6,OK
67,409,0,58,58,6,OK
68,409,0,58,58,7,OK
69,409,0,58,58,7,OK
70,409,0,58,58,7,OK
71,409,0,58,58,7,OK
72,409,0,58,58,7,OK
73,409,0,58,58,7,OK
74,409,0,58,58,7,OK
75,409,0,58,58,7,OK
76,409,0,58,58,7,OK
77,409,0,58,58,7,OK
78,409,0,58,58,7,OK
79,409,0,58,58,7,OK
80,409,0,58,58,7,OK
81,409,0,58,58,7,OK
82,409,0,58,58,7,OK
83,409,0,58,58,7,OK
84,409,0,58,58,7,OK
85,409,0,58,58,7,OK
86,409,0,58,58,7,OK
87,409,0,58,58,7,OK
88,409,0,58,58,7,OK
89,409,0,58,58,7,OK
90,409,0,58,58,6,OK
91,409,0,58,58,6,OK
92,409,0,58,58,6,OK
93,409,0,58,58,6,OK
94,409,0,58,58,6,OK
95,409,0,58,58,6,OK
96,409,0,58,58,6,OK
97,409,0,58,58,6,OK
98,409,0,58,58,6,OK
99,409,0,58,58,6,OK
100,409,0,58,58,6,OK
101,409,0,58,58,6,OK
102,409,0,58,58,6,OK
103,409,0,58,58,6,OK
104,409,0,58,58,6,OK
105,409,0,58,58,6,OK
106,409,0,58,58,6,OK
107,409,0,58,58,6,OK
108,409,0,58,58,6,OK
109,409,0,58,58,6,OK
110,409,0,58,58,6,OK
111,409,0,58,58,6,OK
112,409,0,58,58,6,OK
113,409,0,58,58,6,OK
114,409,0,58,58,6,OK
115,409,0,58,58,6,OK
116,409,0,58,58,6,OK
117,409,0,58,58,6,OK
118,409,0,58,58,6,OK
119,409,0,58,58,6,OK
120,409,0,58,58,6,OK
121,409,0,58,58,6,OK
122,409,0,58,58,6,OK
123,409,0,58,58,6,OK
124,409,0,58,58,6,OK
125,409,0,58,58,6,OK
126,409,0,58,58,7,OK
127,409,0,58,58,7,OK
128,409,0,58,58,7,OK
129,409,0,58,58,7,OK
130,409,0,58,58,7,OK
131,409,0,58,58,7,OK
132,409,0,58,58,7,OK
133,409,0,58,58,7,OK
134,409,0,58,58,6,OK
135,409,0,58,58,6,OK
136,409,0,58,58,6,OK
137,409,0,58,58,6,OK
138,409,0,58,58,6,OK
139,409,0,58,58,6,OK
140,409,0,58,58,6,OK
141,409,0,58,58,6,OK
142,409,0,58,58,6,OK
143,409,0,58,58,6,OK
144,409,0,58,58,6,OK
145,409,0,58,58,6,OK
146,409,0,58,58,6,OK
147,409,0,58,58,6,OK
148,409,0,58,58,6,OK
149,409,0,58,58,6,OK
150,409,0,58,58,6,OK
151,409,0,58,58,6,OK
152,409,0,58,58,6,OK
153,409,0,58,58,6,OK
154,409,0,58,58,6,OK
155,409,0,58,58,6,OK
156,409,0,58,58,6,OK
157,409,0,58,58,6,OK
158,409,0,58,58,6,OK
159,409,0,58,58,6,OK
160,409,0,58,58,6,OK
161,409,0,58,58,6,OK
162,409,0,58,58,6,OK
163,409,0,58,58,6,OK
164,409,0,58,58,6,OK
165,409,0,58,58,6,OK
166,409,0,58,58,6,OK
167,409,0,58,58,6,OK
168,409,0,58,58,6,OK
169,409,0,58,58,6,OK
170,409,0,58,58,6,OK
171,409,0,58,58,6,OK
172,409,0,58,58,6,OK
173,409,0,58,58,6,OK
174,409,0,58,58,6,OK
175,409,0,58,58,6,OK
176,409,0,58,58,6,OK
177,409,0,58,58,6,OK
178,409,0,58,58,6,OK
179,409,0,58,58,6,OK
180,409,0,58,58,6,OK
181,409,0,58,58,6,OK
182,409,0,58,58,6,OK
183,409,0,58,58,6,OK
184,409,0,58,58,6,OK
185,409,0,58,58,6,OK
186,409,0,58,58,6,OK
187,409,0,58,58,6,OK
188,409,0,58,58,6,OK
189,409,0,58,58,6,OK
190,409,0,58,58,6,OK
191,409,0,58,58,6,OK
192,409,0,58,58,6,OK
193,409,0,58,58,6,OK
194,409,0,58,58,6,OK
195,409,0,58,58,6,OK
196,409,0,58,58,6,OK
197,409,0,58,58,6,OK
198,409,0,58,58,6,OK
